Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Maximum GZ,Range,s,si,ai
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2.1,3.000,0.000,0.0594,1.46,0.152,50.65,1.0000,1.0000,0.0594
,,,,,,,,,
2.2,3.000,0.000,0.0090,1.21,0.207,58.79,1.0000,1.0000,0.0090
,,,,,,,,,
2.3,3.000,0.000,0.0537,3.95,0.107,35.24,0.9708,0.9708,0.0521
,,,,,,,,,
4.1,3.000,0.000,0.1142,60.00,0.000,0.00,0.0000,0.0000,0.0000
,,,,,,,,,
4.2,3.000,0.000,0.0124,3.35,0.100,38.88,0.9544,0.9544,0.0119
,,,,,,,,,
4.3,3.000,0.000,0.0068,4.38,0.159,54.18,1.0000,1.0000,0.0068
,,,,,,,,,
4.4,3.000,0.000,0.0135,6.82,0.056,26.38,0.8262,0.8262,0.0111
,,,,,,,,,
4.5,3.000,0.000,0.1038,60.00,0.000,0.00,0.0000,0.0000,0.0000
,,,,,,,,,
4.6,3.000,0.000,0.1175,0.00,0.287,60.00,1.0000,1.0000,0.1175
,,,,,,,,,
5.1,3.000,0.000,0.0008,60.00,0.000,0.00,0.0000,0.0000,0.0000
,,,,,,,,,
5.2,3.000,0.000,0.0031,0.00,0.287,60.00,1.0000,1.0000,0.0031
,,,,,,,,,
6.1,3.000,0.000,0.0152,60.00,0.000,0.00,0.0000,0.0000,0.0000
,,,,,,,,,
6.2,3.000,0.000,0.0007,4.88,0.155,53.59,1.0000,1.0000,0.0007
,,,,,,,,,
6.3,3.000,0.000,0.0065,60.00,0.000,0.00,0.0000,0.0000,0.0000
,,,,,,,,,
6.4,3.000,0.000,0.0175,60.00,0.000,0.00,0.0000,0.0000,0.0000
,,,,,,,,,
6.5,3.000,0.000,0.0139,0.00,0.287,60.00,1.0000,1.0000,0.0139
,,,,,,,,,
2.1,3.600,0.000,0.0594,2.79,0.271,57.21,1.0000,1.0000,0.0594
,,,,,,,,,
2.2,3.600,0.000,0.0090,1.53,0.356,58.47,1.0000,1.0000,0.0090
,,,,,,,,,
2.3,3.600,0.000,0.0537,4.87,0.233,54.80,1.0000,1.0000,0.0537
,,,,,,,,,
4.1,3.600,0.000,0.1142,37.11,0.005,11.54,0.0000,0.0000,0.0000
,,,,,,,,,
4.2,3.600,0.000,0.0124,5.39,0.219,54.61,1.0000,1.0000,0.0124
,,,,,,,,,
4.3,3.600,0.000,0.0068,4.49,0.306,55.51,1.0000,1.0000,0.0068
,,,,,,,,,
4.4,3.600,0.000,0.0135,7.76,0.179,49.34,1.0000,1.0000,0.0135
,,,,,,,,,
4.5,3.600,0.000,0.1038,60.00,0.000,0.00,0.0000,0.0000,0.0000
,,,,,,,,,
4.6,3.600,0.000,0.1175,0.00,0.469,60.00,1.0000,1.0000,0.1175
,,,,,,,,,
5.1,3.600,0.000,0.0008,60.00,0.000,0.00,0.0000,0.0000,0.0000
,,,,,,,,,
5.2,3.600,0.000,0.0031,0.00,0.469,60.00,1.0000,1.0000,0.0031
,,,,,,,,,
6.1,3.600,0.000,0.0152,60.00,0.000,0.00,0.0000,0.0000,0.0000
,,,,,,,,,
6.2,3.600,0.000,0.0007,4.93,0.301,55.07,1.0000,1.0000,0.0007
,,,,,,,,,
6.3,3.600,0.000,0.0065,20.37,0.034,18.27,0.7307,0.7307,0.0048
,,,,,,,,,
6.4,3.600,0.000,0.0175,60.00,0.000,0.00,0.0000,0.0000,0.0000
,,,,,,,,,
6.5,3.600,0.000,0.0139,0.00,0.469,60.00,1.0000,1.0000,0.0139
,,,,,,,,,
2.1,4.000,0.000,0.0594,3.63,0.320,56.37,1.0000,1.0000,0.0594
,,,,,,,,,
2.2,4.000,0.000,0.0090,1.67,0.402,58.33,1.0000,1.0000,0.0090
,,,,,,,,,
2.3,4.000,0.000,0.0537,5.19,0.264,54.81,1.0000,1.0000,0.0537
,,,,,,,,,
4.1,4.000,0.000,0.1142,26.95,0.060,29.38,0.6570,0.6570,0.0750
,,,,,,,,,
4.2,4.000,0.000,0.0124,6.37,0.277,53.63,1.0000,1.0000,0.0124
,,,,,,,,,
4.3,4.000,0.000,0.0068,4.49,0.359,55.51,1.0000,1.0000,0.0068
,,,,,,,,,
4.4,4.000,0.000,0.0135,7.90,0.214,52.09,1.0000,1.0000,0.0135
,,,,,,,,,
4.5,4.000,0.000,0.1038,60.00,0.000,0.00,0.0000,0.0000,0.0000
,,,,,,,,,
4.6,4.000,0.000,0.1175,0.00,0.538,60.00,1.0000,1.0000,0.1175
,,,,,,,,,
5.1,4.000,0.000,0.0008,60.00,0.000,0.00,0.0000,0.0000,0.0000
,,,,,,,,,
5.2,4.000,0.000,0.0031,0.00,0.538,60.00,1.0000,1.0000,0.0031
,,,,,,,,,
6.1,4.000,0.000,0.0152,37.11,0.021,14.29,0.0000,0.0000,0.0000
,,,,,,,,,
6.2,4.000,0.000,0.0007,4.89,0.354,55.11,1.0000,1.0000,0.0007
,,,,,,,,,
6.3,4.000,0.000,0.0065,17.54,0.072,36.67,0.8789,0.8789,0.0057
,,,,,,,,,
6.4,4.000,0.000,0.0175,60.00,0.000,0.00,0.0000,0.0000,0.0000
,,,,,,,,,
6.5,4.000,0.000,0.0139,0.00,0.538,60.00,1.0000,1.0000,0.0139
